60,60,60,0
56.1,55.8,57.7,0.02
51.2,51.6,53.4,0.05
41.7,42.7,42.7,0.08
38.5,41.5,41.8,0.11
37.7,40.6,41.5,0.14
36.9,37.2,37.7,0.17
34.6,34.8,35.3,0.2
32.4,32.7,32.9,0.23
30.6,30.7,31.2,0.26
30.2,30.6,30.7,0.29
