0,1,2,3
1,2.5967,2.7024,10.819
2,2.337,2.4322,9.7375
3,2.104,2.1897,8.7668
4,1.8984,1.9757,7.9099
5,16.329,16.992,68.041
6,1.0538,1.0946,4.3989
7,2.5852,2.6895,10.78
8,3.6987,3.8498,15.419
9,3.8656,4.0235,16.115
10,35.959,37.427,149.91
11,0.23348,0.24298,0.97339
12,0.016382,0.017049,0.068298
