0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,95% Conf. Int.,,0.00,0.00,Difference:,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,,0.00
5.60,4.66,5.77,5.78,5.97,5.40,5.64,4.01,4.01,3.73,3.17,3.03,3.47,2.71,2.58,2.30,1.35,2.22,1.51,2.05,2.25,1.80,2.51,1.07,2.19,2.05,1.31,1.35,1.22,1.22,0.98,5.31,6.12,5.23,5.60,5.27,5.15,4.20,3.03,3.82,3.05,3.17,2.42,2.33,2.19,2.87,2.17,3.03,2.93,2.19,2.05,1.78,1.35,1.66,1.78,1.96,1.78,1.22,1.22,1.07,0.98,0.14,5.82,5.69,5.13,4.47,3.94,4.33,3.73,3.22,3.03,3.07,2.92,2.52,2.40,2.39,2.33,1.75,2.19,2.05,1.96,1.87,1.96,1.96,1.96,1.96,1.22,1.22,1.07,0.24,0.00,0.00,0.00,5.94,2.91,5.78,4.51,5.13,4.29,4.15,3.82,3.31,3.17,2.85,3.17,3.17,2.88,3.03,2.75,2.33,2.19,2.19,2.05,1.96,1.96,1.96,1.22,1.22,1.07,0.98,0.63,0.09,0.00,0.00,3.07,5.69,5.13,4.98,4.55,4.15,3.82,3.42,3.17,2.44,3.07,2.62,2.87,3.17,2.77,2.59,2.51,2.77,2.19,2.19,1.96,1.96,1.96,1.96,1.35,1.07,1.07,0.24,0.09,0.00,0.00,,2.68,1.55,0.576,,,-0.35,5.72,,6.06
57.45,121.58,165.27,160.90,179.17,158.48,100.28,175.91,221.78,236.88,184.63,97.39,189.27,106.87,225.80,102.27,128.43,83.08,100.68,136.76,89.29,183.29,180.79,170.65,104.98,172.76,129.00,172.81,43.77,64.97,73.25,91.27,125.61,158.90,96.52,158.60,127.65,150.84,94.14,85.41,127.01,128.72,104.31,90.19,140.25,146.60,177.74,122.41,110.73,196.45,178.59,196.76,91.33,127.92,98.52,100.85,83.78,82.09,75.99,49.09,161.26,193.98,114.44,149.84,122.60,80.46,103.84,104.98,89.58,118.11,135.86,136.70,92.13,157.17,123.72,138.73,146.16,189.66,183.29,182.80,49.05,111.81,149.67,122.52,125.01,206.47,173.66,114.86,71.26,138.38,134.46,88.77,119.24,72.57,82.64,177.56,198.89,176.81,193.32,107.54,153.09,109.29,139.18,101.87,139.57,92.25,101.41,175.22,184.53,102.73,171.91,172.52,182.52,167.72,151.45,167.12,118.44,118.53,169.15,194.35,197.77,167.55,143.68,100.18,150.21,143.38,116.16,75.93,101.15,107.82,177.73,127.85,116.99,125.31,177.95,166.24,171.91,137.77,120.81,112.21,166.64,132.71,159.90,114.54,55.41,99.94,139.33,123.28,98.94,106.07,87.42,137.63,195.52,156.64,104.23,,133.59,40.13,0.300,,,54.94,212.23,,157.29
104.59,207.86,275.99,464.66,351.68,274.84,207.84,330.86,493.73,518.62,398.66,273.33,332.50,184.06,410.34,239.14,395.30,185.61,220.63,330.28,184.78,324.76,443.41,323.37,175.87,438.38,275.49,231.24,68.34,112.03,186.27,272.70,309.77,313.47,207.50,355.33,320.89,358.96,211.94,181.37,309.68,299.94,198.94,222.95,261.76,328.82,423.69,410.05,276.59,339.68,388.05,458.50,238.53,277.20,219.81,157.37,208.01,179.05,129.09,126.75,317.01,496.61,261.42,345.72,319.25,171.02,247.45,223.46,204.40,275.81,268.47,284.45,175.74,242.95,226.80,313.13,339.04,438.87,452.68,360.12,118.84,398.32,356.11,236.15,456.78,461.51,480.14,257.21,124.99,187.42,399.85,313.81,370.35,139.70,173.97,377.40,407.37,295.15,432.66,344.98,205.37,201.61,326.70,338.00,232.05,278.26,244.02,261.82,309.89,323.27,409.25,419.76,277.30,399.66,436.04,312.41,284.91,270.66,270.81,396.05,495.51,431.70,401.69,250.29,290.38,327.57,238.73,125.30,174.75,287.75,418.85,368.83,212.80,325.20,402.49,379.32,269.24,322.21,300.67,277.89,426.11,215.99,410.81,323.68,202.11,300.23,322.59,345.20,357.22,183.62,206.39,312.62,479.36,340.21,202.23,,299.20,96.88,0.324,,,109.31,489.08,,379.77
167.11,247.60,284.94,582.73,664.12,483.64,282.27,367.14,632.43,640.09,520.56,413.88,504.07,329.19,629.86,374.73,371.33,207.66,434.83,430.69,288.98,433.14,625.72,628.65,246.43,633.16,625.74,600.33,138.15,156.95,153.56,282.08,540.14,310.72,239.12,490.01,464.49,541.91,485.07,382.44,421.84,654.77,366.97,302.78,512.97,584.94,657.82,628.08,282.58,501.83,571.29,558.49,409.47,384.79,354.67,259.10,432.21,260.52,187.70,170.97,540.33,584.25,444.64,565.15,340.09,306.33,432.88,477.12,326.94,494.89,383.62,524.94,291.20,427.71,418.06,595.25,551.57,663.03,610.59,645.23,266.10,635.64,428.88,385.81,703.54,623.22,598.87,440.02,128.49,224.75,652.25,322.91,534.71,184.10,262.66,599.17,639.89,592.72,598.63,562.42,407.98,348.19,349.20,339.44,498.43,344.84,472.64,590.88,381.79,466.26,484.24,636.12,596.79,486.76,689.02,487.51,366.82,376.71,415.66,565.54,708.64,677.24,617.83,289.53,480.54,416.55,360.41,234.68,352.04,425.93,684.66,465.26,295.41,568.21,628.17,638.28,535.54,544.77,495.48,386.21,497.14,283.62,632.19,315.28,278.27,428.88,614.99,562.68,391.70,261.22,504.29,280.95,545.43,451.31,230.96,,449.92,146.39,0.325,,,162.98,736.85,,573.87
