0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,
15.22,13.93,15.36,13.65,14.90,4.41,13.09,4.37,7.15,14.23,14.29,16.05,7.70,10.29,12.27,10.08,10.06,10.67,10.22,9.69,9.18,7.31,8.20,7.74,7.22,6.94,6.41,6.43,6.60,6.61,5.37,13.52,17.66,14.40,12.96,12.19,16.08,14.87,6.00,12.63,11.38,14.45,4.03,10.49,10.20,11.93,11.64,9.22,8.63,8.53,9.19,9.53,8.72,7.65,7.45,7.48,8.72,6.48,6.25,5.78,5.47,4.58,14.26,7.87,16.25,5.24,8.05,8.99,9.17,10.08,12.10,9.92,10.69,8.32,9.57,11.46,10.38,10.73,10.67,8.01,5.38,7.48,5.08,8.20,7.23,5.88,6.94,6.76,7.55,6.05,5.77,5.81,5.64,15.69,14.76,13.90,12.29,15.39,13.61,14.31,12.35,12.58,12.15,10.95,11.17,11.98,12.27,9.04,10.79,8.90,8.62,9.69,8.25,7.87,8.02,7.55,6.86,7.34,6.50,6.25,7.09,6.54,5.70,5.96,16.54,12.37,5.16,11.45,17.52,14.02,15.75,10.96,5.98,6.53,11.64,11.58,8.28,11.70,8.89,10.52,10.34,9.21,9.69,9.70,9.52,8.82,7.92,7.21,8.61,7.74,7.13,6.40,6.25,6.25,4.85,,9.63,3.23,0.335
124.67,57.46,134.46,62.57,109.82,43.06,98.39,52.10,58.97,178.07,99.01,214.63,92.58,171.63,134.36,152.48,112.11,188.36,118.02,130.09,94.96,66.27,130.72,52.99,106.59,62.15,115.72,102.66,192.70,115.95,41.21,184.05,146.73,148.67,136.08,122.52,121.73,115.90,53.29,93.09,130.87,194.99,86.44,38.19,55.74,127.07,125.87,49.41,80.73,101.38,90.90,105.01,113.80,68.61,120.82,170.83,207.86,77.82,119.11,88.68,49.59,109.37,179.92,75.72,130.82,45.17,36.34,156.34,162.62,150.21,158.73,76.72,91.87,139.52,106.87,212.57,152.81,115.65,176.28,51.95,91.98,131.50,62.76,135.35,92.57,77.99,107.68,64.95,121.84,74.77,87.30,165.09,95.09,175.34,100.92,101.86,82.63,159.83,149.61,176.21,78.46,124.99,76.07,90.07,69.71,111.58,124.18,159.74,108.45,60.31,93.85,87.42,79.52,78.35,109.48,90.18,75.54,100.72,88.43,107.63,116.54,163.52,137.19,122.52,187.56,94.82,39.86,107.81,178.87,159.85,164.07,83.73,68.72,87.31,123.36,101.30,117.08,130.96,67.99,118.90,124.92,134.63,122.62,160.66,119.93,127.31,68.48,137.95,151.35,177.09,118.74,71.99,69.61,70.15,56.98,,111.77,40.80,0.365
315.05,195.90,244.12,103.36,449.48,162.27,128.14,176.96,214.38,264.39,213.92,463.93,128.71,461.09,335.06,354.05,189.18,216.36,317.73,348.24,188.14,106.50,239.82,119.43,252.16,167.31,242.02,354.88,467.67,356.06,85.62,417.28,448.81,320.66,328.28,275.57,324.32,360.58,106.29,241.45,275.53,404.70,194.40,106.65,96.03,432.95,319.53,110.61,222.80,277.36,278.47,338.58,260.52,429.93,409.30,277.56,223.15,237.52,230.99,206.87,136.72,153.37,433.70,433.53,294.11,93.78,105.27,407.79,371.13,368.34,267.07,177.84,202.05,348.21,321.23,404.09,317.40,359.92,403.04,147.72,191.62,231.65,316.77,356.64,159.33,249.74,247.03,198.66,321.60,137.40,295.65,421.55,254.60,209.74,266.89,131.32,160.21,454.58,245.14,337.26,179.26,212.51,121.79,205.88,153.22,287.35,313.57,465.26,253.99,132.98,232.22,184.32,141.53,192.32,231.93,155.56,98.41,192.88,169.73,274.85,281.55,410.90,227.16,370.63,412.95,181.01,123.33,188.59,377.56,418.40,327.22,278.65,175.59,264.65,143.81,136.76,239.36,271.66,199.71,184.16,283.06,227.05,282.55,350.53,202.89,314.67,126.01,458.89,413.84,409.99,290.58,116.09,130.67,143.78,102.80,,259.48,103.91,0.400
621.54,281.90,298.01,247.08,612.88,206.17,0.00,147.03,258.42,392.18,565.69,492.23,245.14,608.38,460.03,307.06,330.32,407.95,341.88,591.79,219.80,283.07,459.55,153.92,416.66,429.77,487.54,565.31,584.99,472.83,201.32,645.78,642.44,567.48,433.13,520.16,488.57,300.59,216.62,282.99,415.63,417.43,231.93,219.84,129.16,644.65,374.65,184.43,183.70,187.05,408.89,529.26,384.56,487.00,455.64,585.38,532.52,192.55,470.73,325.50,195.55,245.48,628.00,600.41,452.84,150.45,198.49,475.71,486.48,546.85,444.65,327.93,428.64,440.03,512.87,429.28,522.64,374.68,622.47,270.45,383.21,368.12,509.06,527.72,393.61,339.52,409.41,193.27,445.48,234.13,438.37,382.38,436.92,265.62,418.28,499.80,304.14,528.28,332.06,534.06,300.40,577.03,158.49,209.24,221.96,452.54,610.35,634.83,314.08,243.90,331.22,269.47,182.14,431.88,365.09,187.96,247.49,341.60,322.84,381.18,416.49,422.51,240.48,412.67,508.16,302.45,158.48,350.54,576.63,616.80,535.72,375.79,242.88,280.97,145.32,293.90,308.60,430.40,374.92,291.79,326.91,279.79,398.27,524.20,387.54,426.43,168.96,568.22,644.80,646.72,352.94,163.77,184.52,187.04,142.40,,380.11,145.47,0.383
