0,1,2,3,0,1,2,3
1,2.592,2.6975,10.8,1,2.592,2.6975,10.8
2,2.3328,2.4278,9.72,2,2.3328,2.4278,9.72
3,2.0995,2.185,8.748,3,2.0995,2.185,8.748
4,1.8903,1.9673,7.8763,4,1.8903,1.9673,7.8763
5,17.06,17.755,71.085,5,17.06,17.755,71.085
6,0.023478,0.024434,0.097881,6,0.023478,0.024434,0.097881
7,0.7917,0.82394,3.3007,7,0.7917,0.82394,3.3007
8,2.4174,2.5159,10.079,8,2.4174,2.5159,10.079
9,3.6725,3.822,15.311,9,3.6725,3.822,15.311
10,11.086,11.538,46.291,10,11.086,11.538,46.291
11,2.854,2.9702,11.892,11,2.854,2.9702,11.892
12,25.92,26.975,108,12,25.92,26.975,108
